,title,company,category,location,created,salary_min,salary_max,contract_type,fixed_contract,limited_contract,contract_undefined
87,Elektroniker Betriebstechnik (m/w/d),"Westfleisch SCE, Fleischcenter Lübbecke",IT-Stellen,"Lübbecke, Minden-Lübbecke (Kreis)",2025-02-18 13:06:32+00:00,0,0,0,0.0,0.0,1.0
88,Baumaschinenführer (m/w/d),POHL-Gruppe,IT-Stellen,Deutschland,2025-03-02 00:12:27+00:00,0,0,0,0.0,0.0,1.0
89,Specialist IT Infrastructure and Security (m/w/d),NextPharma,IT-Stellen,"Sieker, Bielefeld",2024-12-19 01:21:46+00:00,0,0,0,0.0,0.0,1.0
90,Betriebsschlosser (m/w/d),"Westfleisch SCE, Fleischcenter Hamm",IT-Stellen,"Braam-Ostwennemar, Hamm",2025-03-04 00:28:19+00:00,0,0,0,0.0,0.0,1.0
91,"Senior Engineer, Salesforce (Vendor) - Fixed Term",Delivery Hero,IT-Stellen,"Berlin, Deutschland",2025-03-05 06:15:07+00:00,0,0,0,0.0,0.0,1.0
92,Java-Softwareentwickler (d/m/w) ab jetzt,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Neuhausen-Nymphenburg, München",2025-03-12 19:23:30+00:00,0,0,permanent,1.0,0.0,0.0
93,SAP EWM Technical Consultant,Darwin Recruitment,IT-Stellen,"Berlin, Deutschland",2025-02-26 14:24:39+00:00,0,0,contract,0.0,1.0,0.0
94,Angular Software Developer (m/w/d) bis 65.000€,Computer Futures,IT-Stellen,"Offenbach (Kreis), Hessen",2025-03-08 14:28:17+00:00,50000,65000,permanent,1.0,0.0,0.0
95,Tiefbaufacharbeiter | Ausbildung (m/w/d),POHL-Gruppe,IT-Stellen,Deutschland,2025-03-03 12:31:13+00:00,0,0,0,0.0,0.0,1.0
96,Informationssicherheitsreferent (m/w/d),Peak One GmbH,IT-Stellen,"Altendorf, Essen",2025-03-04 14:24:55+00:00,80000,100000,permanent,1.0,0.0,0.0
97,Berufserfahrener Java-Softwareentwickler (m/w/d) ab sofort,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Charlottenburg, Berlin",2025-02-21 19:19:44+00:00,0,0,permanent,1.0,0.0,0.0
98,Mitarbeiter IT-Support mit anteiligem Homeoffice (m/w/d),Experian,IT-Stellen,"Erfurt, Erfurt (Kreis)",2025-03-07 18:19:42+00:00,0,0,0,0.0,0.0,1.0
99,SAP GRC Consultant - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Mitte, Stuttgart",2024-12-20 14:14:45+00:00,60000,120000,permanent,1.0,0.0,0.0
100,"Tiefbauer, Gartenlandschaftsbauer, Tiefbauhelfer (m/w/d)",POHL-Gruppe,IT-Stellen,Deutschland,2025-03-20 12:39:46+00:00,0,0,0,0.0,0.0,1.0
101,Senior Software Engineer (CRM),Delivery Hero,IT-Stellen,"Berlin, Deutschland",2025-03-13 00:27:27+00:00,0,0,0,0.0,0.0,1.0
