title,company,category,location,created,salary_min,salary_max,contract_type
IT-Architekt*in,Stadt Karlsruhe,IT-Stellen,"Karlsruhe, Karlsruhe (Kreis)",2025-05-18T19:35:10Z,N/A,N/A,N/A
Stylist Still (w/m/d),ORENDT STUDIOS Gruppe,IT-Stellen,Deutschland,2025-05-18T21:37:14Z,N/A,N/A,N/A
Techniker Anlagenqualifizierung Pharma (m/w/d),OPTIMA pharma containment GmbH,IT-Stellen,"Radolfzell am Bodensee, Konstanz (Kreis)",2025-05-18T08:51:57Z,N/A,N/A,N/A
Optronic System Engineer (d/f/m),E Airbus Defence and Space GmbH Careers,IT-Stellen,"Manching, Pfaffenhofen an der Ilm (Kreis)",2025-05-18T13:55:13Z,N/A,N/A,N/A
Mitarbeiter DMS-Anwendungsbetreuung (m/w/d),Rostocker Straßenbahn AG ,IT-Stellen,"Rostock, Mecklenburg-Vorpommern",2025-05-18T19:34:43Z,N/A,N/A,N/A
Releasemanager / Testmanager - Specialist Release- and Testmanagement (m/w/d),Deutsche Pfandbriefbank AG,IT-Stellen,"Garching bei München, München (Kreis)",2025-05-18T19:41:34Z,N/A,N/A,N/A
IT-Fachkraft (m/w/d) Field Engineer,Brandenburgischer IT-Dienstleister,IT-Stellen,"Frankfurt am Main, Hessen",2025-05-18T19:45:36Z,N/A,N/A,N/A
(Senior) System Engineer (m/w/d),netgo group,IT-Stellen,Deutschland,2025-05-18T22:02:00Z,N/A,N/A,N/A
Senior Professional System-Engineer (w/m/d),IT-Systemhaus der Bundesagentur für Arbeit,IT-Stellen,"Nürnberg, Bayern",2025-05-18T19:35:01Z,N/A,N/A,N/A
Initiativbewerbung,IANUS Simulation,IT-Stellen,Deutschland,2025-05-18T21:40:16Z,N/A,N/A,N/A
Software Engineer - Android Automotive OS (w/m/d),MAN Truck & Bus Group,IT-Stellen,"München, München (Kreis)",2025-05-18T19:41:26Z,N/A,N/A,N/A
Referent Kfz-Technik / Mobility (w/m/d),Gesamtverband der Deutschen Versicherungswirtschaft e.V.,IT-Stellen,"Berlin, Deutschland",2025-05-18T19:34:54Z,N/A,N/A,N/A
IT-Anwendungsbetreuer (m/w/d) Instandhaltung,SWU Stadtwerke Ulm/Neu-Ulm GmbH,IT-Stellen,"Mitte, Ulm",2025-05-18T13:08:32Z,N/A,N/A,N/A
Werkstudent (m/w/d) - Controlling,Controlware,IT-Stellen,"Dietzenbach, Offenbach (Kreis)",2025-05-18T22:04:41Z,N/A,N/A,N/A
(Senior) Softwareentwickler JAVA (w/m/d),PRODATO Integration Technology GmbH,IT-Stellen,"Nürnberg, Bayern",2025-05-18T19:34:44Z,N/A,N/A,N/A
Assistenz (m/w/d) im Bereich Produktmanagement Medical in Teilzeit,medi GmbH & Co. KG,IT-Stellen,"Bayreuth, Bayreuth (Kreis)",2025-05-18T14:05:15Z,N/A,N/A,N/A
IT-Systems Engineer und Projektmanager (m/w/d) - hybrides Arbeiten (Remote & Präsenz),DIS AG,IT-Stellen,"Troisdorf, Rhein-Sieg-Kreis",2025-05-18T19:45:33Z,N/A,N/A,N/A
Kaufmännischer Sachbearbeiter (m/w/d),ShaarConsulting,IT-Stellen,"Berlin, Deutschland",2025-05-18T04:45:23Z,N/A,N/A,N/A
Fullstack Engineer - RegTech,N26 GmbH,IT-Stellen,"Berlin, Deutschland",2025-05-18T07:32:00Z,N/A,N/A,N/A
Inhouse Consultant Microsoft 365 (m/w/d),apetito AG,IT-Stellen,"Rheine, Steinfurt (Kreis)",2025-05-18T19:34:49Z,N/A,N/A,N/A
Microsoft Administrator - IT Beratung / Kundenservice / Systemadministration (m/w/d),MEKO-S GmbH,IT-Stellen,"Bremen, Deutschland",2025-05-18T07:32:23Z,N/A,N/A,N/A
Integration Engineer Kamerasysteme (m/w/d),OPTIMA pharma GmbH,IT-Stellen,"Schwäbisch Hall, Schwäbisch Hall (Kreis)",2025-05-18T19:34:43Z,N/A,N/A,N/A
SPS-Software Engineer (m/w/d) im Maschinenbau,Glaston Germany GmbH,IT-Stellen,Deutschland,2025-05-18T19:41:38Z,N/A,N/A,N/A
OT Security Architect (m/f/d) - Remote Work Available,dormakaba Deutschland GmbH,IT-Stellen,"Ennepetal, Ennepe-Ruhr-Kreis",2025-05-18T19:35:31Z,N/A,N/A,N/A
Auszubildende zum Fachinformatiker (m/w/d) Fachrichtung Daten & Prozessanalyse für 2025,Funk - Internationaler Versicherungsmakler und Risk Consultant,IT-Stellen,"Hamburg, Deutschland",2025-05-18T19:41:41Z,N/A,N/A,N/A
Hardwareentwickler: in (all genders) - Messtechnik - Sachsen,munerio consulting GmbH,IT-Stellen,"Kamenz, Bautzen (Kreis)",2025-05-18T07:33:39Z,N/A,N/A,N/A
Configuration Specialist x86 – Internal Sales (m/w/d),SVA System Vertrieb Alexander GmbH,IT-Stellen,Deutschland,2025-05-18T19:35:20Z,N/A,N/A,N/A
Anwendungsentwickler / Software Engineer (m/w/d) für IT-Projekte,Wyker Dampfschiffs-Reederei Föhr-Amrum GmbH,IT-Stellen,Deutschland,2025-05-18T19:41:24Z,N/A,N/A,N/A
